11/03/2019|Segunda-Feira|9:15|1:00|16:57|6:42|0:00|1:48|4:17|11:10
12/03/2019|Terca-Feira|7:05|1:00|16:58|7:58|0:55|0:32|4:40|11:10
13/03/2019|Quarta-Feira|7:28|1:00|16:55|7:55|0:32|0:35|4:37|11:10
14/03/2019|Quinta-Feira|8:17|1:00|16:53|7:36|0:00|0:54|3:43|11:10
15/03/2019|Sexta-Feira|8:10|1:00|16:56|7:46|0:00|0:44|2:59|11:10
18/03/2019|Segunda-Feira|6:53|1:00|16:55|7:55|1:07|0:35|3:31|2:59
19/03/2019|Terca-Feira|7:44|1:00|16:57|7:57|0:16|0:33|3:14|2:59
20/03/2019|Quarta-Feira|9:34|1:00|16:55|6:21|0:00|2:09|1:05|2:59
21/03/2019|Quinta-Feira|8:21|1:00|16:57|7:36|0:00|0:54|0:11|2:59
22/03/2019|Sexta-Feira|8:12|1:00|16:56|7:44|0:00|0:46|-0:35|2:59
25/03/2019|Segunda-Feira|7:14|1:00|16:56|7:56|0:46|0:34|-0:23|2:59
26/03/2019|Terca-Feira|7:01|1:00|16:56|7:56|0:59|0:34|0:02|2:59
27/03/2019|Quarta-Feira|6:56|1:00|16:57|7:57|1:04|0:33|0:33|2:59
28/03/2019|Quinta-Feira|7:05|1:00|14:30|5:30|0:55|3:00|-1:32|2:59
